Latitude,Longitude,DryYield,Crop,Time,Heading,Variety,Elevation,sample_id
-31.59531411,117.4872452,0.336,5,11/12/2020 8:30,180.4,43Y23 RR,273.03,bf66_sample_3
-31.597407,117.4872457,0.428,5,11/12/2020 8:32,178.9,43Y23 RR,271.27,bf66_sample_3
-31.59954365,117.4872454,0.287,5,11/12/2020 8:33,180.0,43Y23 RR,267.35,bf66_sample_3
-31.6016706,117.4872454,0.081,5,11/12/2020 8:34,179.6,43Y23 RR,271.18,bf66_sample_3
-31.60016348,117.4873716,0.271,5,11/12/2020 8:36,359.9,43Y23 RR,267.91,bf66_sample_3
-31.59799314,117.4873718,0.296,5,11/12/2020 8:37,359.9,43Y23 RR,270.21,bf66_sample_3
-31.59581003,117.487372,0.381,5,11/12/2020 8:38,0.3,43Y23 RR,273.11,bf66_sample_3
-31.59366318,117.4873716,0.477,5,11/12/2020 8:40,0.0,43Y23 RR,271.28,bf66_sample_3
-31.59189456,117.4873716,0.096,5,11/12/2020 8:41,0.1,43Y23 RR,267.21,bf66_sample_3
-31.59363668,117.487751,0.418,5,11/12/2020 8:42,179.9,43Y23 RR,271.45,bf66_sample_3
-31.59560152,117.487751,0.495,5,11/12/2020 8:44,180.3,43Y23 RR,273.78,bf66_sample_3
-31.59779796,117.4877508,0.319,5,11/12/2020 8:45,180.1,43Y23 RR,271.2,bf66_sample_3
-31.6000737,117.487751,0.231,5,11/12/2020 8:46,180.5,43Y23 RR,268.03,bf66_sample_3
-31.60194772,117.4878781,0.169,5,11/12/2020 8:48,358.6,43Y23 RR,271.85,bf66_sample_3
-31.59984912,117.4878776,0.327,5,11/12/2020 8:49,359.5,43Y23 RR,268.24,bf66_sample_3
-31.59761719,117.487878,0.381,5,11/12/2020 8:50,359.3,43Y23 RR,271.63,bf66_sample_3
-31.59548463,117.4878776,0.556,5,11/12/2020 8:52,0.2,43Y23 RR,273.95,bf66_sample_3
-31.5934395,117.4878772,0.421,5,11/12/2020 8:53,359.6,43Y23 RR,271.14,bf66_sample_3
-31.59175621,117.48826,0.411,5,11/12/2020 8:55,175.2,43Y23 RR,266.67,bf66_sample_3
-31.59394998,117.4882569,0.323,5,11/12/2020 8:56,179.9,43Y23 RR,272.1,bf66_sample_3
-31.59605209,117.4882569,0.529,5,11/12/2020 8:57,180.1,43Y23 RR,274.31,bf66_sample_3
-31.59824852,117.4882568,0.456,5,11/12/2020 8:59,180.0,43Y23 RR,271.29,bf66_sample_3
-31.60046021,117.4882571,0.269,5,11/12/2020 9:00,179.6,43Y23 RR,269.03,bf66_sample_3
-31.60259404,117.4884159,0.105,5,11/12/2020 9:01,357.2,43Y23 RR,272.85,bf66_sample_3
-31.60046358,117.4883836,0.278,5,11/12/2020 9:03,0.0,43Y23 RR,269.23,bf66_sample_3
-31.59818157,117.4883836,0.454,5,11/12/2020 9:04,0.8,43Y23 RR,271.49,bf66_sample_3
-31.59599663,117.4883832,0.469,5,11/12/2020 9:05,359.9,43Y23 RR,274.48,bf66_sample_3
-31.59388089,117.4883836,0.204,5,11/12/2020 9:07,0.2,43Y23 RR,272.18,bf66_sample_3
-31.59168114,117.4883836,0.146,5,11/12/2020 9:08,0.2,43Y23 RR,266.65,bf66_sample_3
-31.5934182,117.4887627,0.182,5,11/12/2020 9:09,180.1,43Y23 RR,271.46,bf66_sample_3
-31.59556414,117.4887627,0.522,5,11/12/2020 9:11,180.0,43Y23 RR,275.37,bf66_sample_3
-31.59767693,117.4887629,0.399,5,11/12/2020 9:12,180.1,43Y23 RR,273.19,bf66_sample_3
-31.59985663,117.4887631,0.305,5,11/12/2020 9:13,179.9,43Y23 RR,269.93,bf66_sample_3
-31.60200961,117.4887629,0.295,5,11/12/2020 9:15,179.9,43Y23 RR,272.31,bf66_sample_3
-31.60202325,117.4888892,0.297,5,11/12/2020 9:16,359.7,43Y23 RR,272.4,bf66_sample_3
-31.59993414,117.4888888,0.233,5,11/12/2020 9:18,359.9,43Y23 RR,270.0,bf66_sample_3
-31.59778877,117.4888893,0.46,5,11/12/2020 9:19,0.1,43Y23 RR,273.08,bf66_sample_3
-31.59565361,117.4888892,0.346,5,11/12/2020 9:20,360.0,43Y23 RR,275.44,bf66_sample_3
-31.59356467,117.4888893,0.206,5,11/12/2020 9:21,0.3,43Y23 RR,272.27,bf66_sample_3
-31.59158507,117.4892678,0.136,5,11/12/2020 9:23,179.0,43Y23 RR,266.75,bf66_sample_3
-31.59369934,117.4892683,0.237,5,11/12/2020 9:24,180.0,43Y23 RR,272.65,bf66_sample_3
-31.59582229,117.4892681,0.411,5,11/12/2020 9:26,180.3,43Y23 RR,275.97,bf66_sample_3
-31.59807862,117.4892685,0.31,5,11/12/2020 9:27,180.1,43Y23 RR,273.37,bf66_sample_3
-31.60029951,117.4892681,0.272,5,11/12/2020 9:28,180.2,43Y23 RR,270.53,bf66_sample_3
-31.60256217,117.4892683,0.196,5,11/12/2020 9:30,180.1,43Y23 RR,272.96,bf66_sample_3
-31.60201696,117.4893951,0.246,5,11/12/2020 9:31,0.3,43Y23 RR,272.49,bf66_sample_3
-31.59499959,117.4864867,0.495,5,11/12/2020 8:16,0.1,43Y23 RR,271.98,bf66_sample_3
-31.59286191,117.4864865,0.573,5,11/12/2020 8:17,359.7,43Y23 RR,268.97,bf66_sample_3
-31.59301542,117.4866128,0.53,5,11/12/2020 8:22,180.3,43Y23 RR,269.31,bf66_sample_3
-31.59507236,117.486613,0.359,5,11/12/2020 8:23,180.1,43Y23 RR,272.21,bf66_sample_3
-31.5972227,117.4866133,0.389,5,11/12/2020 8:24,179.9,43Y23 RR,270.94,bf66_sample_3
-31.59984958,117.4866132,0.579,5,11/12/2020 8:26,180.0,43Y23 RR,267.1,bf66_sample_3
-31.60084075,117.4870722,0.165,5,11/12/2020 8:28,19.7,43Y23 RR,269.45,bf66_sample_3
-31.59865281,117.4869923,0.408,5,11/12/2020 8:30,0.0,43Y23 RR,268.49,bf66_sample_3
-31.5964593,117.4869923,0.478,5,11/12/2020 8:31,359.7,43Y23 RR,272.25,bf66_sample_3
-31.59425746,117.4869925,0.465,5,11/12/2020 8:32,0.2,43Y23 RR,271.64,bf66_sample_3
-31.59205435,117.4869923,0.36,5,11/12/2020 8:34,359.8,43Y23 RR,267.68,bf66_sample_3
-31.59387675,117.4871189,0.807,5,11/12/2020 8:35,179.9,43Y23 RR,271.14,bf66_sample_3
-31.59606419,117.4871188,0.451,5,11/12/2020 8:36,180.0,43Y23 RR,272.84,bf66_sample_3
-31.59811937,117.4871191,0.523,5,11/12/2020 8:38,180.0,43Y23 RR,269.9,bf66_sample_3
-31.60029813,117.4871189,0.46,5,11/12/2020 8:39,180.3,43Y23 RR,268.22,bf66_sample_3
-31.60123323,117.4874985,0.243,5,11/12/2020 8:41,359.8,43Y23 RR,270.61,bf66_sample_3
-31.59903044,117.4874981,0.498,5,11/12/2020 8:42,0.1,43Y23 RR,268.6,bf66_sample_3
-31.59683939,117.4874985,0.583,5,11/12/2020 8:43,359.6,43Y23 RR,272.45,bf66_sample_3
-31.59464231,117.4874981,0.749,5,11/12/2020 8:45,359.7,43Y23 RR,273.21,bf66_sample_3
-31.59243737,117.4874983,0.76,5,11/12/2020 8:46,359.9,43Y23 RR,268.85,bf66_sample_3
-31.59352652,117.4876245,0.711,5,11/12/2020 8:48,180.2,43Y23 RR,271.53,bf66_sample_3
-31.59571872,117.4876245,0.568,5,11/12/2020 8:49,180.1,43Y23 RR,273.66,bf66_sample_3
-31.59790459,117.4876249,0.469,5,11/12/2020 8:50,179.8,43Y23 RR,271.06,bf66_sample_3
-31.60010894,117.4876251,0.321,5,11/12/2020 8:51,180.1,43Y23 RR,268.09,bf66_sample_3
-31.6018005,117.4880042,0.483,5,11/12/2020 8:53,359.9,43Y23 RR,271.9,bf66_sample_3
-31.59959681,117.4880042,0.45,5,11/12/2020 8:54,359.9,43Y23 RR,268.84,bf66_sample_3
-31.59740623,117.4880048,0.455,5,11/12/2020 8:56,0.3,43Y23 RR,272.33,bf66_sample_3
-31.59521284,117.4880042,0.548,5,11/12/2020 8:57,0.2,43Y23 RR,274.31,bf66_sample_3
-31.59300914,117.4880041,0.43,5,11/12/2020 8:58,0.4,43Y23 RR,270.27,bf66_sample_3
-31.5925319,117.4881309,0.377,5,11/12/2020 9:00,180.1,43Y23 RR,269.12,bf66_sample_3
-31.5947206,117.4881303,0.606,5,11/12/2020 9:01,180.0,43Y23 RR,273.66,bf66_sample_3
-31.59663579,117.4881303,0.326,5,11/12/2020 9:03,180.0,43Y23 RR,273.77,bf66_sample_3
-31.59881657,117.4881314,0.449,5,11/12/2020 9:04,180.1,43Y23 RR,270.21,bf66_sample_3
-31.60101493,117.4881303,0.217,5,11/12/2020 9:05,180.1,43Y23 RR,270.17,bf66_sample_3
-31.60175822,117.48851,0.319,5,11/12/2020 9:07,0.0,43Y23 RR,271.99,bf66_sample_3
-31.59955697,117.4885097,0.328,5,11/12/2020 9:08,0.2,43Y23 RR,269.95,bf66_sample_3
-31.59736379,117.48851,0.441,5,11/12/2020 9:10,0.1,43Y23 RR,273.31,bf66_sample_3
-31.59517516,117.4885095,0.522,5,11/12/2020 9:11,360.0,43Y23 RR,274.99,bf66_sample_3
-31.59306108,117.4885098,0.324,5,11/12/2020 9:12,0.1,43Y23 RR,270.51,bf66_sample_3
-31.59209174,117.4886365,0.646,5,11/12/2020 9:14,179.8,43Y23 RR,268.02,bf66_sample_3
-31.59425333,117.4886361,0.565,5,11/12/2020 9:15,180.2,43Y23 RR,273.45,bf66_sample_3
-31.59634516,117.4886363,0.45,5,11/12/2020 9:17,180.1,43Y23 RR,274.87,bf66_sample_3
-31.59849149,117.4886361,0.483,5,11/12/2020 9:18,180.3,43Y23 RR,271.79,bf66_sample_3
-31.60068725,117.4886363,0.354,5,11/12/2020 9:19,180.0,43Y23 RR,269.96,bf66_sample_3
-31.60300535,117.4890331,0.41,5,11/12/2020 9:21,9.1,43Y23 RR,273.48,bf66_sample_3
-31.60082022,117.4890149,0.423,5,11/12/2020 9:22,359.3,43Y23 RR,270.63,bf66_sample_3
-31.59862875,117.4890154,0.543,5,11/12/2020 9:24,359.9,43Y23 RR,272.31,bf66_sample_3
-31.59654586,117.4890156,0.561,5,11/12/2020 9:25,0.1,43Y23 RR,275.27,bf66_sample_3
-31.59447685,117.4890153,0.502,5,11/12/2020 9:26,359.8,43Y23 RR,274.36,bf66_sample_3
-31.59239785,117.4890154,0.414,5,11/12/2020 9:27,0.1,43Y23 RR,269.09,bf66_sample_3
-31.59277474,117.4891419,0.316,5,11/12/2020 9:29,180.1,43Y23 RR,270.45,bf66_sample_3
-31.59494367,117.4891424,0.575,5,11/12/2020 9:30,179.5,43Y23 RR,275.49,bf66_sample_3
-31.59701863,117.4891421,0.433,5,11/12/2020 9:32,179.9,43Y23 RR,275.06,bf66_sample_3
-31.59913522,117.4891428,0.35,5,11/12/2020 9:33,179.9,43Y23 RR,271.86,bf66_sample_3
-31.60113641,117.4891421,0.496,5,11/12/2020 9:34,180.0,43Y23 RR,271.12,bf66_sample_3
-31.59988512,117.4893948,0.337,5,11/12/2020 9:32,359.7,43Y23 RR,270.99,bf66_sample_3
-31.59780792,117.4893951,0.427,5,11/12/2020 9:34,0.1,43Y23 RR,274.0,bf66_sample_3
-31.59573098,117.4893953,0.459,5,11/12/2020 9:35,0.4,43Y23 RR,276.18,bf66_sample_3
-31.5937453,117.4893951,0.54,5,11/12/2020 9:36,0.2,43Y23 RR,272.99,bf66_sample_3
-31.59178149,117.4893946,0.578,5,11/12/2020 9:38,359.6,43Y23 RR,267.41,bf66_sample_3
-31.59282698,117.4897743,0.617,5,11/12/2020 9:39,179.8,43Y23 RR,270.03,bf66_sample_3
-31.59473117,117.4897741,0.463,5,11/12/2020 9:41,180.0,43Y23 RR,275.16,bf66_sample_3
-31.59681641,117.4897743,0.299,5,11/12/2020 9:42,180.1,43Y23 RR,276.41,bf66_sample_3
-31.59896701,117.4897743,0.369,5,11/12/2020 9:43,179.9,43Y23 RR,272.98,bf66_sample_3
