tmmx,year
203.9,1959
191.6,1960
204.375,1961
194.9,1962
196.375,1963
183.65,1964
192.875,1965
186.4,1966
201.875,1967
182.85,1968
204.825,1969
194.825,1970
185.1,1971
193.875,1972
188.575,1973
193.85,1974
191.125,1975
205.325,1976
205.825,1977
193.4,1978
196.4,1979
198.625,1980
198.625,1981
201.375,1982
209.125,1983
190.9,1984
198.125,1985
182.325,1986
205.375,1987
200.375,1988
193.6,1989
190.85,1990
207.1,1991
192.875,1992
191.15,1993
212.125,1994
204.625,1995
200.35,1996
203.075,1997
196.1,1998
200.625,1999
203.4,2000
196.9,2001
205.875,2002
194.1,2003
197.625,2004
191.4,2005
212.65,2006
206.4,2007
199.325,2008
196.875,2009
202.375,2010
202.625,2011
210.375,2012
208.125,2013
217.15,2014
215.6,2015
177.85,2016
194.125,2017
203.35,2018
205.9,2019
211.625,2020
197.15,2021
