Northing,Easting,Latitude,Longitude,Distance,Swathwidth,DryYield,Crop,WetMass,Moisture,Time,Heading,Variety,Elevation,Machine
6503043.079,547212.0336,-31.60675982,117.4977191,0.935,2.458,0.227,5,0.227,9.5,11/11/2020 8:01,242.7,43Y23 RR,264.32,1
6503045.097,547205.1161,-31.6067419,117.497646,1.305,12.0,0.627,5,0.627,9.4,11/11/2020 8:01,245.8,43Y23 RR,264.6,1
6503044.8,547199.4327,-31.60674481,117.4975861,1.607,12.0,0.369,5,0.369,9.5,11/11/2020 8:01,264.0,43Y23 RR,264.8,1
6503046.749,547192.8564,-31.6067275,117.4975167,1.804,12.0,0.346,5,0.346,9.5,11/11/2020 8:01,284.5,43Y23 RR,264.84,1
6503051.139,547187.1089,-31.60668813,117.4974559,1.829,12.0,0.413,5,0.413,9.5,11/11/2020 8:01,306.2,43Y23 RR,264.81,1
6503057.391,547182.4797,-31.60663191,117.4974068,2.001,12.0,0.433,5,0.433,9.5,11/11/2020 8:01,322.5,43Y23 RR,264.84,1
6503064.998,547178.5558,-31.60656344,117.4973651,2.167,12.0,0.384,5,0.384,9.5,11/11/2020 8:01,332.8,43Y23 RR,264.84,1
6503073.245,547175.7608,-31.60648915,117.4973352,2.212,12.0,0.437,5,0.437,9.5,11/11/2020 8:01,340.9,43Y23 RR,264.84,1
6503082.138,547172.9867,-31.60640903,117.4973056,2.385,12.0,0.35,5,0.35,9.5,11/11/2020 8:02,342.5,43Y23 RR,264.84,1
6503091.217,547170.315,-31.60632723,117.497277,2.376,12.0,0.416,5,0.416,9.4,11/11/2020 8:02,343.4,43Y23 RR,264.84,1
6503099.992,547167.3175,-31.60624819,117.4972449,2.345,12.0,0.322,5,0.322,9.4,11/11/2020 8:02,341.3,43Y23 RR,264.9,1
6503109.02,547164.6797,-31.60616684,117.4972167,2.38,12.0,0.424,5,0.424,9.4,11/11/2020 8:02,343.1,43Y23 RR,264.94,1
6503118.321,547161.7368,-31.60608305,117.4971852,2.444,12.0,0.417,5,0.417,9.4,11/11/2020 8:02,341.5,43Y23 RR,264.95,1
6503127.64,547158.4344,-31.60599911,117.49715,2.504,12.0,0.462,5,0.462,9.5,11/11/2020 8:02,340.6,43Y23 RR,264.96,1
