Northing,Easting,Latitude,Longitude,Distance,SwathWidth,DryYield,Crop,WetMass,Moisture,Time,Heading,Variety,Elevation,Machine
6503301.524,546806.3596,-31.60444472,117.4934302,0.097,12.0,0.0,26,0.0,7.2,11/18/2021 8:52:34 AM,60.5,Ninja,269.53,1
6503302.212,546808.1537,-31.60443844,117.4934491,0.431,12.0,0.0,26,0.0,7.2,11/18/2021 8:52:37 AM,61.7,Ninja,269.49,1
6503303.393,546809.729,-31.60442772,117.4934656,0.535,12.0,0.0,26,0.0,7.2,11/18/2021 8:52:41 AM,59.3,Ninja,269.1,1
6503305.17,546811.068,-31.60441163,117.4934797,0.504,12.0,0.332,26,0.332,7.2,11/18/2021 8:52:45 AM,53.5,Ninja,268.93,1
6503308.577,546812.3118,-31.60438084,117.4934926,0.868,12.0,1.065,26,1.065,7.1,11/18/2021 8:52:49 AM,41.1,Ninja,269.07,1
6503312.294,546812.8579,-31.60434729,117.4934982,0.869,12.0,2.494,26,2.494,7.1,11/18/2021 8:52:53 AM,28.6,Ninja,269.14,1
6503319.07,546812.4446,-31.60428617,117.4934935,2.181,12.0,2.494,26,2.494,9.3,11/18/2021 8:52:57 AM,11.0,Ninja,268.93,1
6503327.725,546813.456,-31.60420804,117.4935038,2.169,12.0,2.494,26,2.494,10.7,11/18/2021 8:53:01 AM,8.0,Ninja,268.74,1
6503336.433,546814.0075,-31.60412946,117.4935092,2.177,12.0,1.982,26,1.982,10.9,11/18/2021 8:53:05 AM,4.7,Ninja,268.51,1
6503344.892,546813.3286,-31.60405317,117.4935016,2.071,12.0,1.909,26,1.909,10.9,11/18/2021 8:53:09 AM,358.9,Ninja,268.29,1
6503352.381,546813.0901,-31.60398561,117.4934987,1.649,12.0,1.214,26,1.214,10.9,11/18/2021 8:53:13 AM,358.4,Ninja,268.1,1
6503356.609,546812.9555,-31.60394747,117.4934971,0.814,12.0,0.748,26,0.748,11.0,11/18/2021 8:53:17 AM,358.2,Ninja,268.03,1
